See https://www.sciencedirect.com/science/article/abs/pii/S0019103523004001
Optical depth (tau) as measured with MSL Mastcam by Mark Lemmon, MLemmon@SpaceScience.org
L7, M34, 880-nm
Generated: Wed Sep 20 10:01:49 2023
(Values of -1 indicate absence of validated data)
Lines of data in this table:         1938
*************************************************************
                    Product_ID,      Sol,   L_s,   tau, sigma
0953ML0041970030403593D01_DXXX, 953.3480, 324.4, 0.920, 0.021
0954ML0042180030403596D01_DXXX, 954.4565, 325.0, 0.903, 0.034
0956ML0042270030403628D01_DXXX, 956.2860, 326.1, 0.973, 0.014
0961ML0042500030403799D01_DXXX, 961.2961, 328.9, 0.963, 0.013
0961ML0042510030403802D01_DXXX, 961.5070, 329.1, 0.893, 0.035
0962ML0042540030403807D01_DXXX, 962.4164, 329.6, 0.915, 0.030
0966ML0042800030403965D01_DXXX, 966.6503, 332.0, 0.967, 0.022
0971ML0042870030404114D01_DXXX, 971.4566, 334.7, 1.287, 0.034
0975ML0042950030404134D01_DXXX, 975.2996, 336.8, 1.353, 0.014
0975ML0042970030404138D01_DXXX, 975.4311, 336.9, 1.246, 0.032
0981ML0041670030404308D01_DXXX, 981.4122, 340.2, 1.237, 0.031
0981ML0041670040404309D01_DXXX, 981.4124, 340.2, 1.240, 0.031
0981ML0041670050404310D01_DXXX, 981.4125, 340.2, 1.232, 0.031
0983ML0043360030404331D01_DXXX, 983.6767, 341.4, 1.091, 0.018
0983ML0043360040404332D01_DXXX, 983.6768, 341.4, 1.090, 0.018
0983ML0043360050404333D01_DXXX, 983.6769, 341.4, 1.089, 0.018
0985ML0043480030404356D01_DXXX, 985.4911, 342.4, 1.130, 0.035
0985ML0043480040404357D01_DXXX, 985.4913, 342.4, 1.139, 0.035
0985ML0043480050404358D01_DXXX, 985.4914, 342.4, 1.141, 0.035
0988ML0043660030404447D01_DXXX, 988.5413, 344.0, 1.084, 0.035
0994ML0043860020404884D01_DXXX, 994.3223, 347.1, 1.139, 0.016
0994ML0043870020404909D01_DXXX, 994.4948, 347.2, 1.149, 0.035
0999ML0044270020405048D01_DXXX, 999.4561, 349.9, 1.055, 0.034
1000ML0044410020405076D01_DXXX,1000.4635, 350.4, 1.067, 0.034
1001ML0044420020305278D01_DXXX,1001.4552, 350.9, 1.028, 0.034
1002ML0044430020305339D01_DXXX,1002.4972, 351.5, 1.013, 0.035
1003ML0044660020305378D03_DXXX,1003.4758, 352.0, 1.016, 0.035
1003ML0044840020305461D01_DXXX,1003.6650, 352.1, 0.917, 0.019
1027ML0044900020305469D01_DXXX,1027.4840,   4.4, 0.998, 0.035
1027ML0044930020305473D01_DXXX,1027.6190,   4.4, 0.944, 0.026
1029ML0044950020305478D01_DXXX,1029.4961,   5.4, 0.949, 0.035
1031ML0045020020305537D01_DXXX,1031.5923,   6.5, 0.957, 0.029
1032ML0045080030305551D01_DXXX,1032.4978,   6.9, 0.977, 0.035
1033ML0045220020305669D01_DXXX,1033.6329,   7.5, 0.945, 0.024
1034ML0045230020305670D01_DXXX,1034.4314,   7.9, 0.965, 0.032
1035ML0045340020305752D01_DXXX,1035.6323,   8.5, 0.912, 0.024
1037ML0045440020305793D01_DXXX,1037.6016,   9.5, 0.945, 0.028
1038ML0045450020305794D01_DXXX,1038.4519,   9.9, 0.978, 0.033
1039ML0045480020305809D01_DXXX,1039.5264,  10.4, 0.969, 0.034
1040ML0045510020305818D01_DXXX,1040.4357,  10.9, 0.929, 0.032
1040ML0045520020305819D01_DXXX,1040.4771,  10.9, 0.935, 0.034
1040ML0045530020305820D01_DXXX,1040.5187,  10.9, 0.935, 0.034
1040ML0045540020305821D01_DXXX,1040.6228,  11.0, 0.883, 0.025
1041ML0045560020305822D01_DXXX,1041.4282,  11.4, 0.904, 0.031
1042ML0045680020305864D01_DXXX,1042.5944,  11.9, 0.877, 0.029
1043ML0045700020305866D01_DXXX,1043.5212,  12.4, 0.890, 0.034
1044ML0045670020305965D01_DXXX,1044.5021,  12.9, 0.875, 0.035
1045ML0045780020305975D01_DXXX,1045.5660,  13.4, 0.866, 0.032
1046ML0045990020306001D01_DXXX,1046.6166,  13.9, 0.870, 0.026
1047ML0046010020306025D01_DXXX,1047.4633,  14.3, 0.888, 0.034
1049ML0046160020306029D01_DXXX,1049.4976,  15.3, 0.874, 0.035
1050ML0046210020306068D01_DXXX,1050.3148,  15.7, 0.820, 0.015
1051ML0046130020306071D01_DXXX,1051.4321,  16.3, 0.852, 0.031
1052ML0046280020306095D01_DXXX,1052.4296,  16.8, 0.858, 0.031
1057ML0046460020306151D01_DXXX,1057.4882,  19.2, 0.850, 0.034
1063ML0046770020306207D01_DXXX,1063.5497,  22.1, 0.801, 0.033
1067ML0046930020206369D01_DXXX,1067.4370,  24.0, 0.771, 0.031
1071ML0047110020206392D01_DXXX,1071.5107,  26.0, 0.756, 0.034
1072ML0047140020206395D01_DXXX,1072.4940,  26.4, 0.748, 0.034
1072ML0047170020206404D01_DXXX,1072.6857,  26.5, 0.709, 0.014
1074ML0047230020206515D01_DXXX,1074.3268,  27.3, 0.709, 0.016
1074ML0047270020206527D01_DXXX,1074.4896,  27.4, 0.785, 0.034
1077ML0047390020206590D01_DXXX,1077.5110,  28.8, 0.760, 0.034
1077ML0047410020206593D01_DXXX,1077.6490,  28.9, 0.726, 0.020
1079ML0047470020206602D01_DXXX,1079.3319,  29.6, 0.695, 0.017
1081ML0047550020206639D01_DXXX,1081.3242,  30.6, 0.701, 0.015
1081ML0047560020206642D01_DXXX,1081.5496,  30.7, 0.774, 0.032
1082ML0047580020206783D01_DXXX,1082.6007,  31.2, 0.759, 0.027
1086ML0047720020206986D01_DXXX,1086.4641,  33.0, 0.743, 0.033
1088ML0047820020500145D01_DXXX,1088.2839,  33.9, 0.629, 0.018
1088ML0047830020500148D01_DXXX,1088.4888,  34.0, 0.725, 0.033
1093ML0047990020500317D01_DXXX,1093.5175,  36.3, 0.731, 0.033
1098ML0048590020500385D01_DXXX,1098.4906,  38.6, 0.714, 0.033
1099ML0048630020500394D01_DXXX,1099.3448,  39.0, 0.659, 0.019
1105ML0048980020500754D01_DXXX,1105.2906,  41.7, 0.648, 0.015
1105ML0048990020500771D01_DXXX,1105.5098,  41.8, 0.716, 0.033
1107ML0049220020500882D01_DXXX,1107.4874,  42.8, 0.728, 0.033
1111ML0049460020500972D01_DXXX,1111.3553,  44.5, 0.682, 0.020
1111ML0049470020500975D01_DXXX,1111.4753,  44.6, 0.736, 0.032
1118ML0049810020501099D01_DXXX,1118.3298,  47.7, 0.639, 0.016
1118ML0049820020501102D01_DXXX,1118.4996,  47.8, 0.696, 0.032
1120ML0049890020501128D01_DXXX,1120.5171,  48.7, 0.696, 0.032
1120ML0049940020501154D01_DXXX,1120.6630,  48.8, 0.627, 0.017
1123ML0050100020501163D01_DXXX,1123.5605,  50.1, 0.624, 0.030
1128ML0050280020501229D01_DXXX,1128.4727,  52.3, 0.617, 0.032
1138ML0050940020501304D01_DXXX,1138.3250,  56.8, 0.556, 0.015
1138ML0050980020501327D01_DXXX,1138.5250,  56.9, 0.557, 0.031
1146ML0051870030501632D01_DXXX,1146.5227,  60.5, 0.558, 0.031
1149ML0051990030501743D01_DXXX,1149.6786,  61.9, 0.509, 0.014
1152ML0052080020501797D01_DXXX,1152.3021,  63.1, 0.496, 0.014
1152ML0052110020501802D01_DXXX,1152.5204,  63.2, 0.546, 0.031
1156ML0052240020501947D01_DXXX,1156.4854,  64.9, 0.575, 0.031
1156ML0052250020501950D01_DXXX,1156.6818,  65.0, 0.513, 0.014
1159ML0052430020502043D01_DXXX,1159.3627,  66.2, 0.490, 0.020
1159ML0052440020502046D01_DXXX,1159.5009,  66.3, 0.529, 0.031
1163ML0052620020502205D01_DXXX,1163.6183,  68.1, 0.524, 0.023
1168ML0052910020502403D01_DXXX,1168.4277,  70.3, 0.555, 0.028
1170ML0053030020502422D01_DXXX,1170.5189,  71.2, 0.493, 0.031
1173ML0053160020502469D01_DXXX,1173.6779,  72.6, 0.525, 0.014
